split,segment,fold,ratio,r_svd,rmse,mae,n_matched
test_final,trend,5,60_40,0.6,1.0454072365666638,0.8835016353874287,842
test_final,trend,5,70_30,0.7,0.9832067834076411,0.8173097292384397,842
test_final,trend,5,80_20,0.8,0.9428583605031102,0.7652184451927312,842
test_final,trend,5,90_10,0.9,0.9247447935477155,0.7317370048859262,842
val_inner,regular,5,10_90,0.1,1.5678612946243728,1.3552012431673433,4884
val_inner,regular,5,20_80,0.2,1.4529768178947877,1.249283081331485,4884
val_inner,regular,5,30_70,0.3,1.3370745164406221,1.1418325125244877,4884
val_inner,regular,5,40_60,0.4,1.2247627239327759,1.0384228577040762,4884
val_inner,regular,5,50_50,0.5,1.1252258487493962,0.9468050499339009,4884
val_inner,regular,5,60_40,0.6,1.0313298233574721,0.8604803324758314,4884
val_inner,regular,5,70_30,0.7,0.952604422638612,0.7861856116102989,4884
val_inner,regular,5,80_20,0.8,0.8896125445516773,0.7258468359592808,4884
val_inner,regular,5,90_10,0.9,0.8523978424355041,0.6851342840354161,4884
test_final,regular,5,10_90,0.1,1.56590856154611,1.3572071955820355,4952
test_final,regular,5,20_80,0.2,1.4569068405310017,1.2574218988581554,4952
test_final,regular,5,30_70,0.3,1.3531575945446765,1.1606282818642268,4952
test_final,regular,5,40_60,0.4,1.2530726227415159,1.066941019820981,4952
test_final,regular,5,50_50,0.5,1.1563742498267473,0.9776012412927885,4952
test_final,regular,5,60_40,0.6,1.0701209144488553,0.8971967441975938,4952
test_final,regular,5,70_30,0.7,0.997133285474915,0.8239446484486828,4952
test_final,regular,5,80_20,0.8,0.9459266282444856,0.7677071739662548,4952
test_final,regular,5,90_10,0.9,0.9185190554517434,0.7296291893446538,4952
val_inner,new,6,10_90,0.1,1.7654591943781974,1.5226033496737694,334
val_inner,new,6,20_80,0.2,1.634672001747009,1.4001500455017626,334
val_inner,new,6,30_70,0.3,1.508597029976472,1.2848197300167892,334
val_inner,new,6,40_60,0.4,1.3885184563732986,1.1760070719089657,334
val_inner,new,6,50_50,0.5,1.276130113978172,1.0741758454489465,334
val_inner,new,6,60_40,0.6,1.1736433407095166,0.9772607892652202,334
val_inner,new,6,70_30,0.7,1.0838705521688672,0.8933530724502621,334
val_inner,new,6,80_20,0.8,1.0102069668157574,0.8235590569826917,334
val_inner,new,6,90_10,0.9,0.956382202377553,0.7696828706160602,334
test_final,new,6,10_90,0.1,1.5560008462045014,1.314956790599458,299
test_final,new,6,20_80,0.2,1.440389239899878,1.2134675639864985,299
test_final,new,6,30_70,0.3,1.3328717449252474,1.1217414572912632,299
test_final,new,6,40_60,0.4,1.2355631960330067,1.0338385047269139,299
test_final,new,6,50_50,0.5,1.1510556595286878,0.9562034090369059,299
test_final,new,6,60_40,0.6,1.0823517211356237,0.8911734982271233,299
test_final,new,6,70_30,0.7,1.032610653696722,0.8432662542718085,299
test_final,new,6,80_20,0.8,1.0046530112338266,0.8141466406413239,299
test_final,new,6,90_10,0.9,1.0003069432953664,0.8029041421761026,299
val_inner,trend,6,10_90,0.1,1.5407314564668062,1.3358980314997886,863
val_inner,trend,6,20_80,0.2,1.4109478826015247,1.2122303543006248,863
val_inner,trend,6,30_70,0.3,1.2858197170627446,1.0922775231941384,863
val_inner,trend,6,40_60,0.4,1.1731840339107333,0.987075318907242,863
val_inner,trend,6,50_50,0.5,1.066306108729309,0.8904647694093284,863
val_inner,trend,6,60_40,0.6,0.9719475738948345,0.8065447760271567,863
val_inner,trend,6,70_30,0.7,0.8949153424692566,0.7355496254308486,863
val_inner,trend,6,80_20,0.8,0.8347424408029552,0.6769058073331469,863
val_inner,trend,6,90_10,0.9,0.8022216745416385,0.6442114696699816,863
test_final,trend,6,10_90,0.1,1.5928031027489564,1.3865905557311407,882
test_final,trend,6,20_80,0.2,1.4679196193617041,1.2659461665889915,882
test_final,trend,6,30_70,0.3,1.3459489385928312,1.1473246892688098,882
test_final,trend,6,40_60,0.4,1.2348961540492243,1.0390954459627497,882
test_final,trend,6,50_50,0.5,1.1324061147865427,0.9428991169609268,882
test_final,trend,6,60_40,0.6,1.0449375902690894,0.8592542139344845,882
test_final,trend,6,70_30,0.7,0.9705343759860868,0.7877751729483269,882
test_final,trend,6,80_20,0.8,0.9188532437759152,0.7298699492557593,882
test_final,trend,6,90_10,0.9,0.8933157107760996,0.6928950022758149,882
val_inner,regular,6,10_90,0.1,1.5563923092528753,1.346613228718382,4856
val_inner,regular,6,20_80,0.2,1.4379640196875407,1.2366389279731576,4856
val_inner,regular,6,30_70,0.3,1.3219113835770075,1.1291085624048929,4856
val_inner,regular,6,40_60,0.4,1.2104868363570889,1.0264588095097376,4856
val_inner,regular,6,50_50,0.5,1.1077343032921676,0.9321974209971965,4856
val_inner,regular,6,60_40,0.6,1.0154350247843285,0.8469645253033506,4856
val_inner,regular,6,70_30,0.7,0.9392138347185729,0.7759686618973453,4856
val_inner,regular,6,80_20,0.8,0.8799026673716235,0.7170865810435637,4856
val_inner,regular,6,90_10,0.9,0.845861246747094,0.6792247842789173,4856
test_final,regular,6,10_90,0.1,1.5595063409147027,1.3506877741473668,4883
