protocol,split,segment,fold,metric,slope,r_squared,range
testonly,val_inner,regular,7,recall,0.017280628792295975,0.9157874670185215,0.014026154083998432
testonly,val_inner,regular,8,recall,0.010415918120112146,0.7422570924520131,0.010537842169559664
testonly,val_inner,regular,9,recall,0.006426832733118949,0.5546225230518386,0.006923586228304024
testonly,test_final,trend,0,recall,-0.0005097420817116905,0.008441449378540461,0.004792240587695229
testonly,test_final,trend,1,recall,0.00011705086893032397,0.01254158831182665,0.0009398496240601295
testonly,test_final,trend,2,recall,0.006103959393432963,0.80684662794465,0.005172970304549107
testonly,test_final,trend,3,recall,0.0017783108268182117,0.24465222229005035,0.003233830845771113
testonly,test_final,trend,4,recall,0.004862304770392993,0.6540708847889039,0.004164279348102928
testonly,test_final,trend,5,recall,0.00014354301391343113,0.001243420488526196,0.0035626102292768413
testonly,test_final,trend,6,recall,0.008418577307466313,0.8854340761040137,0.005873015873015919
testonly,test_final,trend,7,recall,0.004209719427110829,0.5607971913153585,0.005458048392831039
testonly,test_final,trend,8,recall,-0.0010462304579950674,0.062295226437006676,0.003559757236227812
testonly,test_final,trend,9,recall,0.00028201725282001044,0.008800442108577564,0.002488387524883895
testonly,val_inner,trend,0,recall,0.0002486991123356411,0.012790110999007983,0.0019513314967860573
testonly,val_inner,trend,1,recall,0.001863243968506993,0.17916940459441064,0.0037745879851142083
testonly,val_inner,trend,2,recall,-0.001534841324917509,0.1440473452647553,0.0035714285714284477
testonly,val_inner,trend,3,recall,0.002551440329218391,0.5248975876195264,0.0029012345679013674
testonly,val_inner,trend,4,recall,-0.0036261940673706547,0.788264274799096,0.0027102187028658076
testonly,val_inner,trend,5,recall,0.0032846988402543973,0.33250785745300193,0.004371492704826063
testonly,val_inner,trend,6,recall,0.002847098435333928,0.7652018780474653,0.0028130570409983235
testonly,val_inner,trend,7,recall,0.001520336212365192,0.1770560161688256,0.0030742204655248573
testonly,val_inner,trend,8,recall,0.004597519362012229,0.35937931948573915,0.005475040257649
testonly,val_inner,trend,9,recall,-0.007686352576863527,0.8233640582089028,0.005428371304283752
fullcatalog,n/a,new,0,f1,-0.03096209346209346,0.7839643281296441,0.028996003996003994
fullcatalog,n/a,new,1,f1,-0.01580464623942885,0.8413422824047316,0.015067058545319409
fullcatalog,n/a,new,2,f1,-0.023389752867364808,0.8950220462363598,0.021065998677938978
fullcatalog,n/a,new,3,f1,-0.018330154693791054,0.887220884878994,0.012661580843399025
fullcatalog,n/a,new,4,f1,-0.011704739704739708,0.8815706727310701,0.01092773892773893
fullcatalog,n/a,new,5,f1,-0.013909932659932659,0.9432765295230092,0.012810800310800311
fullcatalog,n/a,new,6,f1,-0.025070525070525068,0.9562738201480393,0.021840021840021838
